All frames read7
9
6
6
5
2
4
10
10
10
20
1
24
1
20
7
6
6
6
5
2
3
3
2
4
2
2
2
2
2
6
2
3
7
7
10
8
4
3
6
5
11
5
6
2
6
2
4
10
10
20
2
2
4
7
21
6
12
2
6
2
7
26
6
2
2
6
6
6
12
2
3
2
6
6
10
10
4
13
21
2
4
6
6
3
2
4
22
11
6
4
5
28
10
9
21
6
31
19
6
2
11
4
18
10
10
10
10
9
9
6
5
14
26
13
6
6
6
6
6
6
5
17
7
20
9
6
12
12
7
12
7
6
6
10
12
6
7
11
10
10
10
10
10
3
16
7
6
6
6
6
5
13
11
6
6
6
10
10
10
10
15
9
6
6
12
7
8
17
2
4
6
6
1
11
6
10
6
12
7
6
6
19
18
12
6
10
10
10
10
9
3
6
1
12
5
6
6
6
2
22
1
15
5
6
2
2
10
10
10
10
11
10
9
8
6
15
5
6
6
6
6
6
9
36
13
6
13
6
6
6
6
1
21
8
9
10
11
1
13
6
6
4
22
2
9
17
6
6
8
8
10
9
20
13
6
13
19
5
17
2
15
11
6
20
10
6
6
16
6
8
5
42
6
6
6
10
9
9
6
5
6
2
24
5
6
6
6
2
3
6
6
6
1
1
1
11
12
7
11
6
2
18
10
9
10
10
18
10
11
6
6
6
17
9
4
6
6
10
2
2
2
39
4
11
10
10
7
10
17
6
2
2
9
13
6
6
18
6
18
6
10
10
10
10
1
9
6
6
6
6
10
6
6
11
11
6
10
19
7
6
13
16
17
15
1
15
6
29
6
6
17
9
9
6
2
5
6
11
11
6
1
17
2
20
6
2
4
10
10
10
10
18
6
11
6
6
6
1
12
29
10
10
17
9
8
2
26
4
20
11
7
9
2
4
31
6
6
3
6
13
6
12
4
13
10
7
18
12
9
8
9
8
10
10
11
6
3
6
6
11
6
2
10
10
10
10
8
2
11
3
9
11
28
5
6
12
2
4
6
6
6
4
2
2
6
6
5
6
6
12
11
6
3
10
10
10
1
9
10
6
11
9
6
6
10
8
1
1
16
10
11
30
3
10
9
15
9
7
3
12
10
10
19
2
12
7
27
7
6
6
6
6
6
9
12
6
6
18
6
6
12
21
5
10
35
11
3
17
1
1
1
17
10
10
18
6
11
12
6
4
10
10
10
8
24
16
9
8
22
10
8
10
14
6
6
25
9
2
11
9
6
6
10
10
6
6
6
10
3
11
6
6
4
6
6
6
10
1
17
31
10
10
10
10
10
4
6
12
10
11
14
6
6
18
17
6
25
10
19
41
12
6
7
5
6
6
7
8
7
15
7
3
10
6
9
6
8
4
19
9
6
9
10
4
1
6
13
9
10
6
13
9
2
3
6
11
35
2
13
13
6
6
6
16
12
18
6
6
6
5
6
4
1
11
15
9
10
6
33
7
12
6
6
6
15
12
10
7
9
6
10
7
6
6
11
9
4
6
6
8
2
19
6
11
11
9
2
5
9
6
9
6
9
10
2
7
26
6
12
24
4
7
6
13
12
10
18
12
3
10
10
26
2
1
6
2
2
12
6
6
6
6
6
6
6
10
40
2
11
2
11
6
6
26
10
12
11
8
7
5
6
12
4
16
7
14
6
6
6
2
10
10
9
10
30
11
1
9
2
2
9
6
6
7
8
9
6
6
6
19
2
27
17
12
6
13
6
11
6
10
10
10
20
6
6
11
6
13
24
12
8
1
11
29
6
10
20
21
6
6
7
13
12
6
6
19
6
6
6
7
6
6
14
6
9
8
12
6
10
10
10
10
11
12
10
10
10
10
20
8
13
2
2
10
6
6
5
6
6
6
4
13
6
19
19
1
16
8
11
10
6
25
6
6
6
6
12
13
10
6
6
6
6
2
7
11
6
6
10
10
4
20
12
6
2
10
7
10
6
20
12
4
32
13
19
2
12
6
10
6
4
22
6
6
26
6
5
6
6
2
2
8
8
7
2
2
10
10
10
10
31
29
6
7
6
7
10
14
10
6
6
19
13
6
26
3
5
2
6
12
5
6
10
5
3
15
8
10
10
4
2
6
10
10
10
1
16
10
10
23
1
24
6
6
7
5
11
7
6
5
6
6
11
6
6
6
6
15
2
7
9
3
8
6
6
6
8
6
11
9
10
10
10
10
10
10
10
15
2
2
2
6
6
13
7
6
2
3
13
21
11
2
6
11
6
6
6
8
6
7
6
5
2
6
6
6
6
6
6
6
6
6
6
3
2
2
2
6
1
6
3
2
2
3
2
2
2
2
4
8
6
12
10
10
10
13
6
8
10
10
10
30
6
6
6
6
3
6
6
6
8
2
10
8
6
6
6
10
9
13
6
17
9
5
7
6
10
10
10
10
10
6
6
6
9
14
2
12
3
1
8
13
6
6
10
6
3
9
8
13
14
10
14
21
2
2
10
6
2
10
2
2
2
43
10
10
10
5
6
6
6
11
16
10
10
6
6
3
27
12
11
14
10
12
22
6
5
12
6
9
10
13
10
3
19
3
18
19
10
9
8
4
2
3
4
7
6
6
7
20
26
1
24
9
20
5
6
6
1
23
6
2
2
2
6
6
10
6
2
5
6
6
7
9
10
10
6
6
6
6
8
6
6
6
8
6
6
12
6
6
11
6
5
4
2
3
7
4
12
8
7
6
3
5
9
13
6
30
3
7
6
6
6
17
31
15
7
4
8
6
11
10
6
18
5
4
28
9
9
6
5
6
5
6
6
10
18
19
10
13
6
2
8
6
2
4
9
6
6
6
6
15
2
7
6
10
